Date,BeeID,Period,Foraging trip duration (min)
06-May,AAC,Post-dust storm,56
06-May,SFA,Post-dust storm,193
06-May,SFA,Post-dust storm,183
06-May,EEA,Post-dust storm,10
06-May,EEA,Post-dust storm,112
06-May,EEA,Post-dust storm,87
06-May,EEA,Post-dust storm,41
06-May,BSA,Post-dust storm,41
06-May,BSA,Post-dust storm,41
06-May,BSA,Post-dust storm,59
06-May,BSA,Post-dust storm,44
06-May,CFA,Post-dust storm,147
06-May,EZA,Post-dust storm,58
06-May,FEA,Post-dust storm,51
06-May,FEA,Post-dust storm,187
07-May,FAB,Post-dust storm,50
07-May,FAB,Post-dust storm,10
07-May,FAB,Post-dust storm,34
07-May,BSA,Post-dust storm,20
07-May,BSA,Post-dust storm,34
07-May,EOA,Post-dust storm,219
07-May,EFA,Post-dust storm,78
07-May,EFA,Post-dust storm,97
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
